STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),finpos,Financial position,stk_flow,Stock or flow,sector,Sector,sector2,Counterpart sector,co_nco,Consolidated/Non consolidated,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2022-Q3,,-418152.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2022-Q4,,-403895.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2023-Q1,,-426373.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2023-Q2,,-425699.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2023-Q3,,-414662.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2023-Q4,,-447381.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2024-Q1,,-456275.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2024-Q2,,-452683.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2024-Q3,,-467995.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2024-Q4,,-464191.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2025-Q1,,-472704.0,,p,provisional,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BE,Belgium,2025-Q2,,-476417.0,,p,provisional,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2018-Q1,,-1409.3,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2018-Q2,,-710.9,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2018-Q3,,-40.2,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2018-Q4,,-674.8,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2019-Q1,,18.1,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2019-Q2,,735.1,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2019-Q3,,1429.7,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2019-Q4,,632.8,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2020-Q1,,1205.8,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2020-Q2,,1257.5,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2020-Q3,,1614.4,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2020-Q4,,-1292.7,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2021-Q1,,-1126.7,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2021-Q2,,-883.2,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2021-Q3,,-224.4,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2021-Q4,,-3677.4,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2022-Q1,,-3096.2,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2022-Q2,,-2566.2,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2022-Q3,,-2201.9,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2022-Q4,,-4333.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2023-Q1,,-4178.8,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2023-Q2,,-4390.1,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2023-Q3,,-4305.3,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2023-Q4,,-5637.3,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2024-Q1,,-5887.0,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2024-Q2,,-6083.8,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2024-Q3,,-7042.5,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2024-Q4,,-7184.5,,,,,
dataflow,ESTAT:GOV_10Q_GGFA(1.0),Quarterly financial accounts for general government,Q,Quarterly,BF90,Financial net worth,LIAB,Liabilities,STK,Stock,S13,General government,S1_S2,Total economy and rest of the world,CO,Consolidated,MIO_EUR,Million euro,BG,Bulgaria,2025-Q1,,-7083.7,,p,provisional,,
